	version	folds	img_size	resize	batch_size	epochs	patience	decay	backbone	bce_weight	loss	seed	bavg_epoch	bavg_loss	bavg_dice_coef	split	mirror	aughard	umodel	pseudo	comments	lr	dice_by_folds	shift	external	downsample
52	v50	5	256	4	20	1000	20	False	efficientnetb2	1.0	bce_jaccard_loss	2021	35.4	0.16049691140651706	0.920931041240692	group	0.0	1.0	unet	False	new data	0.0005	0.9277 0.8822 0.9217 0.9400 0.9331	True	ext	
53	v51	5	256	4	22	1000	20	False	efficientnetb1	1.0	bce_jaccard_loss	2021	42.0	0.1580545961856842	0.9239650845527648	group	0.0	1.0	unet	False	new data	0.0005	0.9302 0.8941 0.9151 0.9405 0.9399	True		
54	v52	6	256	4	20	1000	10	True	efficientnetb2	0.75	bce_jaccard_loss	2021	36.16666666666666	0.14627517759799954	0.9301445285479228	strat	0.0	1.0	unet	False	new data	0.0005	0.9311 0.9349 0.9243 0.9298 0.9297 0.9311	False	ext	
55	v53	5	256	4	20	1000	20	False	efficientnetb1	1.0	bce_jaccard_loss	41	70.4	0.14691625833511351	0.9294665098190308	strat	0.0	1.0	link	False	new data	0.0005	0.9311 0.9284 0.9291 0.9247 0.9341	False	ext	
56	v54	5	256	4	24	1000	20	False	efficientnetb0	1.0	bce_jaccard_loss	2021	63.0	0.14012562334537507	0.9387816309928894	strat	0.0	1.0	unet	False	new data	0.0005	0.9410 0.9392 0.9371 0.9384 0.9382	True	ext	0.25
57	v55	5	256	4	24	1000	20	False	efficientnetb0	1.0	bce_jaccard_loss	2021	60.0	0.14072062969207766	0.932623314857483	strat	0.0	1.0	unet	v55	new data	0.0005	0.9332 0.9323 0.9300 0.9345 0.9331	True	ext	
58	v56	5	256	4	20	1000	40	False	efficientnetb1	1.0	bce_jaccard_loss	2021	135.2	0.1355663686990738	0.9346699714660645	strat	0.0	1.0	link	v55	new data	0.0005	0.9347 0.9332 0.9355 0.9389 0.9310	True	ext	
59	v57	5	256	4	20	1000	20	False	efficientnetb1	1.0	bce_jaccard_loss	41	62.6	0.1393976777791977	0.933078944683075	strat	0.0	1.0	link	v55	new data	0.0005	0.9310 0.9327 0.9353 0.9350 0.9314	True	ext	
60	v58	5	256	4	24	1000	20	False	efficientnetb0	1.0	bce_jaccard_loss	42	87.4	0.13904298841953278	0.9335974335670472	strat	0.0	1.0	link	v55	new data	0.0005	0.9326 0.9330 0.9324 0.9372 0.9328	True	ext	
61	v59	4	256	4	24	1000	30	False	efficientnetb0	1.0	bce_jaccard_loss	40	114.5	0.13505421951413155	0.9356597661972046	strat	0.0	1.0	unet	v55	new data	0.0005	0.9375 0.9337 0.9312 0.9403	True	ext	
62	v60	4	256	4	20	1000	30	False	efficientnetb1	1.0	bce_jaccard_loss	41	95.0	0.1374724805355072	0.9338699579238892	strat	0.0	1.0	unet	v55	new data	0.0005	0.9335 0.9313 0.9359 0.9348	True	ext	
63	v61	4	256	4	20	1000	30	False	efficientnetb1	1.0	bce_jaccard_loss	42	117.5	0.13690752163529396	0.9344773292541504	strat	0.0	1.0	link	v55	new data	0.0005	0.9360 0.9337 0.9376 0.9306	True	ext	
